cohort,cancer,cancer_label,rank,source,source_label,modality,relation,interpretation,a,lcb,expected,evidence_class
cancer,icd_174,Malignant neoplasm of female breast,1,icd_611,Other disorders of breast,icd,within,clinical precursor,2.640174283658945,2.253976676516452,26.8188921714202,positive control: same organ system
cancer,icd_174,Malignant neoplasm of female breast,2,icd_793,Nonspecific (abnormal) findings on radiological and other examination of body structure,icd,within,clinical precursor,1.7376269333509615,1.1794081980135722,12.83663446157334,cross-system candidate
cancer,icd_173,Other and unspecified malignant neoplasm of skin,1,icd_702,Other dermatoses,icd,within,clinical precursor,2.3111680906816696,1.7786172499839656,14.103855250814377,positive control: same organ system
cancer,icd_173,Other and unspecified malignant neoplasm of skin,2,icd_709,Other disorders of skin and subcutaneous tissue,icd,within,clinical precursor,2.2073655182674354,1.477696997638412,7.512920109622769,positive control: same organ system
cancer,icd_185,Malignant neoplasm of prostate,1,icd_790,Nonspecific findings on examination of blood,icd,within,clinical precursor,3.144655272472025,2.7034975134870765,20.552854489236324,positive control: same organ system
cancer,icd_185,Malignant neoplasm of prostate,2,lab_2857-1_HIGH,Prostate specific Ag [Mass/volume] in Serum or Plasma - high,lab,across,laboratory,3.388752024484587,2.3969571869020894,4.06645812573737,positive control: tumour marker ordering
cancer,icd_185,Malignant neoplasm of prostate,3,icd_602,Other disorders of prostate,icd,within,clinical precursor,3.543599836095332,2.267793142542807,2.45748139519921,positive control: same organ system
cancer,icd_185,Malignant neoplasm of prostate,4,icd_600,Hyperplasia of prostate,icd,within,clinical precursor,2.269406871196482,1.6348943901704782,9.935269518973712,positive control: same organ system
cancer,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1,lab_2039-6_NORMAL,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma - normal,lab,across,laboratory,4.611603953835923,3.7473506359188713,5.355226946784342,positive control: tumour marker ordering
cancer,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",2,icd_518,Other diseases of lung,icd,within,clinical precursor,2.421339985369789,1.8645452665458728,12.902378456888982,positive control: same organ system
cancer,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",3,lab_5821-4_NORMAL,Leukocytes [#/area] in Urine sediment by Microscopy high power field - normal,lab,across,laboratory,2.1398194471139718,1.4325755206936197,7.996897660195145,cross-system candidate
cancer,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",4,lab_5902-2_NORMAL,Prothrombin time (PT) - normal,lab,across,laboratory,2.1043671582263195,1.4278349589033823,8.739428794999583,cross-system candidate
cancer,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",5,lab_5808-1_NORMAL,Erythrocytes [#/volume] in Urine sediment by Microscopy high power field - normal,lab,across,laboratory,2.120580185362058,1.4046141752113952,7.803243894341563,cross-system candidate
cancer,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",6,lab_5811-5_NORMAL,Specific gravity of Urine by Test strip - normal,lab,across,laboratory,1.9761432914111123,1.2764824094707352,8.171180516611969,cross-system candidate
cancer,icd_193,Malignant neoplasm of thyroid gland,1,icd_241,Nontoxic nodular goiter,icd,within,clinical precursor,3.612311540156517,2.949140655689773,9.095133739098344,positive control: same organ system
cancer,icd_193,Malignant neoplasm of thyroid gland,2,icd_V72,Special investigations and examinations,icd,within,clinical precursor,1.847590707986656,1.0322537645226593,6.017079497809732,care pathway: screening encounter
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,1,lab_2160-0_LOW,Creatinine [Mass/volume] in Serum or Plasma - low,lab,across,laboratory,2.753367816691096,1.4417813966403064,2.325231343583255,cross-system candidate
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,2,lab_789-8_NORMAL,Erythrocytes [#/volume] in Blood by Automated count - normal,lab,across,laboratory,1.9980902040727584,1.3402283667723438,9.242524364326528,cross-system candidate
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,3,lab_5898-2_NORMAL,Deprecated Activated partial thrombplastin time (aPTT) in Blood by Coagulation assay - normal,lab,across,laboratory,2.201651962094527,1.3070009037430348,4.997498026292249,cross-system candidate
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,4,icd_V72,Special investigations and examinations,icd,within,clinical precursor,2.056616794871947,1.3042231082949658,7.065936105672222,care pathway: screening encounter
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,5,lab_787-2_NORMAL,MCV [Entitic mean volume] in Red Blood Cells by Automated count - normal,lab,across,laboratory,1.9111191433808303,1.2962028035966324,10.57859339036122,cross-system candidate
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,6,lab_785-6_NORMAL,MCH [Entitic mass] by Automated count - normal,lab,across,laboratory,1.9271168357947237,1.2906962686958217,9.875783915070883,cross-system candidate
cancer,icd_191,Malignant neoplasm of brain,1,icd_348,Other conditions of brain,icd,within,clinical precursor,4.034887486083038,3.03761096320367,4.021877149215271,positive control: same organ system
cancer,icd_191,Malignant neoplasm of brain,2,lab_5902-2_NORMAL,Prothrombin time (PT) - normal,lab,across,laboratory,2.3157364663020377,1.3552414622757765,4.335805289428549,cross-system candidate
cancer,icd_191,Malignant neoplasm of brain,3,lab_5898-2_NORMAL,Deprecated Activated partial thrombplastin time (aPTT) in Blood by Coagulation assay - normal,lab,across,laboratory,2.182153959375809,1.2379778445995662,4.486978328176747,cross-system candidate
cancer,icd_191,Malignant neoplasm of brain,4,lab_3173-2_NORMAL,aPTT in Blood by Coagulation assay - normal,lab,across,laboratory,2.1842171179136094,1.2338043825924374,4.42828431897351,cross-system candidate
cancer,icd_191,Malignant neoplasm of brain,5,lab_6777-7_HIGH,Deprecated Glucose [Mass/volume] in Serum or Plasma - high,lab,across,laboratory,2.191640148895159,1.148940274579557,3.679097937921995,cross-system candidate
cancer,icd_191,Malignant neoplasm of brain,6,lab_770-8_HIGH,Neutrophils/Leukocytes in Blood by Automated count - high,lab,across,laboratory,2.4170437754731995,1.093070771742173,2.2819269199573284,cross-system candidate
cancer,icd_182,Malignant neoplasm of body of uterus,1,icd_621,"Disorders of uterus, not elsewhere classified",icd,within,clinical precursor,3.4546685949592053,2.065262943351235,2.0720578155412994,positive control: same organ system
control,icd_174,Malignant neoplasm of female breast,1,icd_611,Other disorders of breast,icd,within,clinical precursor,2.890734879078447,2.759998375949348,234.02715998698116,positive control: same organ system
control,icd_174,Malignant neoplasm of female breast,2,icd_V84,Genetic susceptibility to disease,icd,within,clinical precursor,3.0385814504271185,2.024421129289125,3.889078968274333,cross-system candidate
