cohort,cancer,source,target,a,lcb,expected
cancer,icd_183,icd_620,icd_V72,1.0236210463962288,0.879337739152036,3.7683582059965772
cancer,icd_183,icd_V72,icd_620,0.9344547562645936,0.777570206055696,6.9606699879767575
cancer,icd_183,icd_620,icd_625,1.7408513277344817,1.5427953346651813,2.4301427118452352
cancer,icd_183,icd_625,icd_620,2.288052195974468,2.18769982286638,4.508885882342952
cancer,icd_183,icd_620,icd_789,1.0236980740129795,0.8178412933773327,2.0750820401906225
cancer,icd_183,icd_789,icd_620,1.0911487480266262,0.9112699849592338,4.629200476613164
cancer,icd_183,icd_620,icd_998,1.2013746777287448,0.7724091128522534,0.3117399223042927
cancer,icd_183,icd_560,icd_789,1.7980353096633226,1.6591041084928038,2.0118030958684585
cancer,icd_183,icd_789,icd_560,2.2122798177015466,2.0985983847758147,5.1613117579966
cancer,icd_183,icd_560,icd_998,1.4081350281556992,0.8974504433521029,0.17133532757894532
cancer,icd_183,icd_998,icd_560,2.4182812449778965,2.1712326499896775,0.9371652796608032
cancer,icd_183,icd_560,icd_759,3.3837830809423965,3.1012853928947726,0.18502190054317857
cancer,icd_183,icd_625,icd_V72,0.7389949113929655,0.6044518087257402,5.5630163589731865
cancer,icd_183,icd_625,icd_789,0.9477809405508539,0.7919802807695694,3.774284767631684
cancer,icd_183,icd_789,icd_625,0.7939229563312281,0.5999633558337931,6.286385151792729
cancer,icd_191,icd_348,icd_431,2.6058218261653145,2.288683437282577,0.48136954189084946
cancer,icd_191,icd_431,icd_348,3.384355851605212,3.294458765555453,1.717889065011562
cancer,icd_191,icd_348,icd_432,2.672202104754156,2.333484282356876,0.5120036587553969
cancer,icd_191,icd_432,icd_348,3.4859653215001045,3.396259455619357,1.6397109697422252
cancer,icd_191,icd_348,icd_368,1.4174185084268638,1.0249534636088462,0.32066314964065157
cancer,icd_191,icd_368,icd_348,2.0971827784924773,1.8176112088989718,0.669045901419068
cancer,icd_191,icd_348,icd_784,1.4500099382643246,1.278599364849784,1.3792810125188026
cancer,icd_191,icd_784,icd_348,1.8776672497122397,1.7664761697032016,5.0576923909090965
cancer,icd_191,icd_348,icd_331,2.6121878277737203,2.415018061442296,1.0912161672357783
cancer,icd_191,icd_331,icd_348,2.2133265330036416,1.952840910642562,0.6566772314421314
cancer,icd_191,icd_759,icd_348,1.5139042028068412,0.8843596992384618,0.23182457949357627
cancer,icd_191,icd_348,icd_345,2.7320921981160984,2.551022909003281,2.6320870174262723
cancer,icd_191,icd_345,icd_348,1.8522176892304663,1.5675168602381366,0.788435529693686
cancer,icd_191,icd_431,icd_432,4.215718835375125,4.0769045464489455,0.6478082989604559
cancer,icd_191,icd_432,icd_431,4.832422330880394,4.75991379893975,1.0398131192980173
cancer,icd_191,icd_784,icd_431,1.6372905436536873,1.197960115962662,0.6561261356816388
cancer,icd_191,icd_431,icd_331,3.501614153884191,3.3461950768482174,0.7178213231424699
cancer,icd_191,icd_331,icd_431,2.407221877802633,1.7405638459120591,0.13151910959774682
