cohort,cancer,cancer_label,side,rank,source,source_label,modality,a,lcb,specificity,expected,tier
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,1,icd_620,"Noninflammatory disorders of ovary, fallopian tube, and broad ligament",icd,2.576831629403667,2.4287376887983374,3.1313981821819876,1.013642067217198,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,2,icd_560,Intestinal obstruction without mention of hernia,icd,2.3540098340352205,2.0830950887154893,2.605872453465416,0.3625551564838503,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,3,icd_V72,Special investigations and examinations,icd,2.056616794871947,1.9860354306922163,1.2241057407872056,7.065936105672222,secondary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,4,icd_625,Pain and other symptoms associated with female genital organs,icd,1.8138954568677148,1.5910980966802482,2.917923363242924,0.9275031282541732,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,5,icd_789,Other symptoms involving abdomen and pelvis,icd,1.5204898973208565,1.358690032871046,1.8750993583698357,2.3503701418223386,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,6,icd_998,"Other complications of procedures, NEC",icd,1.562509643436725,1.148236013196629,1.6431812414921807,0.3622230406120366,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,diagnosis,7,icd_759,Other and unspecified congenital anomalies,icd,1.757667735266938,1.081980083871907,1.348455799948891,0.1066840503126727,secondary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,1,lab_5821-4_ABNORMAL,Leukocytes [#/area] in Urine sediment by Microscopy high power field - abnormal,lab,3.287064378511031,3.145350298680543,2.8865508434247142,0.5998673122622833,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,2,lab_19080-1_NORMAL,Choriogonadotropin [Units/volume] in Serum or Plasma - normal,lab,2.8601605341606104,2.7200325777710637,2.322665585005243,1.0062536812712892,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,3,lab_2160-0_LOW,Creatinine [Mass/volume] in Serum or Plasma - low,lab,2.753367816691096,2.6489111972838653,2.1425017307677843,2.325231343583255,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,4,lab_5808-1_HIGH,Erythrocytes [#/volume] in Urine sediment by Microscopy high power field - high,lab,2.8198474552007613,2.6461106797596545,2.377214812309309,0.7047893905930778,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,5,lab_3094-0_LOW,Urea nitrogen [Mass/volume] in Serum or Plasma - low,lab,2.7221892255544136,2.538498620705502,1.9718546964416834,1.0189472209687906,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,6,lab_2336-6_HIGH,Globulin [Mass/volume] in Serum - high,lab,2.73279030472262,2.526014728041155,2.2265041773152197,0.5101862711324756,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,7,med_81953,ampicillin,med,2.8189462730796944,2.454777289877325,2.114222764911211,0.2485796670097784,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,8,med_221058,221058,med,2.779142226967354,2.393594921055142,2.179090774726578,0.23221876394035057,primary
cancer,icd_183,Malignant neoplasm of ovary and other uterine adnexa,cross_modal,9,med_1299048,1299048,med,2.7759410171479297,2.3888760316352577,2.1778199610332782,0.23035475817394513,primary
cancer,icd_191,Malignant neoplasm of brain,diagnosis,1,icd_348,Other conditions of brain,icd,4.034887486083038,3.9908484060499085,4.162685742130059,4.021877149215271,primary
cancer,icd_191,Malignant neoplasm of brain,diagnosis,2,icd_431,Intracerebral hemorrhage,icd,2.6907397895026537,2.366750134926286,3.824486260838218,0.2834689290904908,primary
cancer,icd_191,Malignant neoplasm of brain,diagnosis,3,icd_432,Other and unspecified intracranial hemorrhage,icd,2.6024300488338024,2.2115105987828065,4.241243395386746,0.2237673617550726,primary
cancer,icd_191,Malignant neoplasm of brain,diagnosis,4,icd_368,Visual disturbances,icd,2.447291777751332,2.092482825319849,3.063828384926082,0.3135091538821797,primary
cancer,icd_191,Malignant neoplasm of brain,diagnosis,5,icd_784,Symptoms involving head and neck,icd,2.1362686081702003,1.9816318864507647,2.2893011175320472,2.162746423121092,primary
cancer,icd_191,Malignant neoplasm of brain,diagnosis,6,icd_331,Other cerebral degenerations,icd,2.343405982579344,1.9314575775284812,3.2991983701617933,0.2469384773710459,primary
cancer,icd_191,Malignant neoplasm of brain,diagnosis,7,icd_759,Other and unspecified congenital anomalies,icd,2.332231497711001,1.8319859748007399,1.923019562392954,0.17349964188239397,primary
cancer,icd_191,Malignant neoplasm of brain,diagnosis,8,icd_345,Epilepsy and recurrent seizures,icd,2.0100999327071296,1.5722015747067692,3.4760128833489343,0.30484387807550206,primary
cancer,icd_191,Malignant neoplasm of brain,cross_modal,1,med_3264,dexamethasone,med,4.113563352432647,4.016511498026444,3.12862521517296,1.7684695108814026,primary
cancer,icd_191,Malignant neoplasm of brain,cross_modal,2,lab_3968-5_NORMAL,Phenytoin [Mass/volume] in Serum or Plasma - normal,lab,3.8192622173817585,3.6519357553028566,3.312318044183152,0.5574031501018339,primary
cancer,icd_191,Malignant neoplasm of brain,cross_modal,3,lab_5898-2_LOW,Deprecated Activated partial thrombplastin time (aPTT) in Blood by Coagulation assay - low,lab,3.6188014539710003,3.426407799509207,3.147022102400757,0.519846897178013,primary
cancer,icd_191,Malignant neoplasm of brain,cross_modal,4,lab_5905-5_LOW,Monocytes/Leukocytes in Blood by Automated count - low,lab,3.512107645749097,3.3628714316808748,3.129093570379845,0.7987129949674454,primary
cancer,icd_191,Malignant neoplasm of brain,cross_modal,5,med_1297766,atorvastatin,med,3.318120919464796,3.186034718640065,3.6457702589591725,1.018436567560201,primary
cancer,icd_191,Malignant neoplasm of brain,cross_modal,6,med_1483793,1483793,med,3.3130809380630777,3.180708542770665,3.6415350295072613,1.018743351674459,primary
