analyte,label,state,cancer,cancer_label,a_abnormal,a_normal,state_contrast,z,expected_abnormal,expected_normal,n_abnormal
2160-0,Creatinine [Mass/volume] in Serum or Plasma,LOW,icd_183,Malignant neoplasm of ovary and other uterine adnexa,2.753367816691096,1.282429485687259,1.470938331003837,1.8394569415630686,2.325231343583255,4.775781584804122,270.498291015625
770-8,Neutrophils/Leukocytes in Blood by Automated count,HIGH,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",2.1405138219680038,0.7239449721415284,1.4165688498264752,2.0950943260806136,4.309392985875718,4.442297418406099,394.75775146484375
2857-1,Prostate specific Ag [Mass/volume] in Serum or Plasma,HIGH,icd_185,Malignant neoplasm of prostate,3.388752024484587,1.9864131086075472,1.4023389158770398,2.0189368659623455,4.06645812573737,4.227528231642566,73.93656921386719
770-8,Neutrophils/Leukocytes in Blood by Automated count,HIGH,icd_191,Malignant neoplasm of brain,2.4170437754731995,1.0512498485945796,1.36579392687862,1.48817172348602,2.2819269199573284,2.4748252138525118,394.75775146484375
736-9,Lymphocytes/Leukocytes in Blood by Automated count,LOW,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.9638024191945607,0.7126271002201252,1.2511753189744355,1.818798921835604,4.499943170400002,3.9840766268291645,491.1844177246094
736-9,Lymphocytes/Leukocytes in Blood by Automated count,LOW,icd_191,Malignant neoplasm of brain,2.2630597788077993,1.013553934487078,1.2495058443207212,1.337442215467758,2.4376034029667153,2.1617663121904798,491.1844177246094
2345-7,Glucose [Mass/volume] in Serum or Plasma,HIGH,icd_191,Malignant neoplasm of brain,2.1325082479663133,1.030585176847782,1.1019230711185313,1.394897228449563,3.262345641962952,3.149405139505973,830.517822265625
6777-7,Deprecated Glucose [Mass/volume] in Serum or Plasma,HIGH,icd_191,Malignant neoplasm of brain,2.191640148895159,1.1197671039730726,1.0718730449220863,1.4419657712098046,3.679097937921995,3.5618766909764474,852.3438110351562
718-7,Hemoglobin [Mass/volume] in Blood,LOW,icd_202,Other malignant neoplasms of lymphoid and histiocytic tissue,1.3312178038496278,0.5357912075596354,0.7954265962899925,1.0305185829459784,3.4066066039176803,3.3086686084493238,1175.45703125
4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,LOW,icd_202,Other malignant neoplasms of lymphoid and histiocytic tissue,1.089592305338454,0.33231851023435144,0.7572737951041025,0.8845811075789702,3.1729167469141544,2.394013207321848,1415.839599609375
6690-2,Leukocytes [#/volume] in Blood by Automated count,HIGH,icd_191,Malignant neoplasm of brain,1.854111644097567,1.099661932739585,0.754449711357982,0.9195552694467437,2.4760147761046483,3.7138211817173215,839.6494140625
752-6,Deprecated Neutrophils [#/volume] in Blood by Automated count,HIGH,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.645176482120296,1.0361205819972255,0.6090559001230706,0.7894712372912085,2.2662453478378097,6.497202084114406,340.9869384765625
751-8,Neutrophils [#/volume] in Blood by Automated count,HIGH,icd_162,"Malignant neoplasm of trachea, bronchus, and lung",1.6458410224403852,1.0373213091849842,0.608519713255401,0.78845279574624,2.2648894608542776,6.487750758495167,340.48663330078125
788-0,Erythrocyte [DistWidth] in Red Blood Cells by Automated count,HIGH,icd_202,Other malignant neoplasms of lymphoid and histiocytic tissue,1.6420476989526664,1.0416211175150405,0.600426581437626,0.8380004272705693,2.7399435999288926,6.738544722188465,642.40185546875
789-8,Erythrocytes [#/volume] in Blood by Automated count,LOW,icd_202,Other malignant neoplasms of lymphoid and histiocytic tissue,1.4971411244856763,0.9881416612855035,0.5089994632001728,0.7902549301048175,4.481170629759731,5.216409446774151,1291.944091796875
